,question,answer
91,How can we say a task environment is deterministic?,The next state of the environment is completely determined by the current state and the action executed by the agent(s).
92,What task environment makes an agent need not worry about uncertainty?,fully observable and deterministic.
93,What is the difference between stochastic and nondeterministic?,"""We say that a model of the environment is stochastic if it explicitly deals with probabilities (e.g."
94,How can we say a task environment is episodic?,"""The agent's experience is divided into atomic episodes"
95,How can we say a task environment is sequential?,The current decision of agent could affect all future decisions.
96,What are the examples of episodic and sequential task environments?,Many classification tasks are episodic; Chess and taxi driving are sequential.
97,Why episodic environments are much simpler than sequential environments?,The agent does not need to think ahead.
98,How can we say a task environment is dynamic for that agent?,The environment can change while an agent is deliberating.
99,How can we say a task environment is static for that agent?,The environment cannot change while an agent is deliberating.
100,Why static task envrionments are easy to deal with?,"""The agent need not keep looking at the world while it is deciding on an action"
101,How can we say a task environment is semidynamic?,The environment itself does not change with the passage of time but the agent's performance score does.
102,"""What are the examples of dynamic","semidynamic and static task environments?"""
103,What are the differences between discrete and continuous task environments?,"""The state of the environment"
104,What are the examples of discrete and continuous task environments?,"""Chess has a finite number of distinct states (excluding the clock)"
105,What does a known / unknown task environment refers to?,The agent's (or designer's) state of knowledge about the “laws of physics” of the environment.
106,How can we say a task environment is known?,The outcomes (or outcome probabilities if the environment is nondeterministic) for all actions are given.
107,How can we say a task environment is unknown?,The agent will have to learn how it works in order to make good decisions.
108,What is an example of partially observable and known task environment?,"""In solitaire card games"
109,What is an example of fully observable and unknown task environment?,"""In a new video game"
110,What kind of task environment should be the hardest case?,"""partially observable"
111,What is an agent function?,The mapping from percepts to actions.
112,What is the agent architecture?,A program will run on some sort of computing device with physical sensors and actuators
113,What the architecture does to a program?,"""In general"
114,What are the four basic kinds of agent programs that embody the principles underlying almost all intelligent systems?,Simple reflex agents; Model-based reflex agents; Goal-based agents; and Utility-based agents.
115,What does simple reflex agents do?,"""These agents select actions on the basis of the current percept"
116,What does condition-action rule similar to?,if-then statements.
117,What is the more general and flexible approach for simple reflex agent?,Firstly build a general-purpose interpreter for condition-action rules and then to create rule sets for specific task environments.
118,How can a simple reflex agen escape from infinite loops?,The agent can randomize its actions.
119,What is better instead of allowing simple reflex agents to randomize its actions?,A more sophisticated deterministic agent.
120,What is the most effective way to handle partial observability for the agent?,The agent should maintain some sort of internal state that depends on the percept history and thereby reflects at least some of the unobserved aspects of the current state.
121,What kind of knowledge is required in updating model-based reflex agents' internal state information as time goes by?,"""First"
122,How the information about how the world changes over time in model-based reflex agent can be divided?,The effects of the agent's actions and how the world evolves independently of the agent.
123,What does the knowledge about “how the world works” is called?,The transition model of the world.
124,What is sensor model in model-based reflex agent?,"""A kind of knowledge"
125,What is the definition of model-based reflex agent?,An agent using transition model and sensor model.
126,How transition model and sensor model function in model-based reflex agent?,allow an agent to keep track of the state of the world.
127,Which part in model-based reflex agent's structure is interesting?,The function which is responsible for creating the new internal state description.
128,What does the model-based reflex agent's knowing of the current world actually is?,"""It represents the agent's “best guess”"
129,What does goal information do to agents?,It describes situations that are desirable.
130,How a goal-based agent appears being more flexible?,It may appears less efficient.
131,Why economists and computer scientists use the term utility instead?,"""It is because it sounds more scientific then words like """"happy""""."""
132,What will happen if the internal utility function and the external performance measure are in agreement?,An agent that chooses actions to maximize its utility will be rational according to the external performance measure.
133,What does a utility function do when there are conflicting goals?,It specifies the appropriate tradeoff.
134,What does a utility function do when there are several goals that the agent can aim for?,It provides a way in which the likelihood of success can be weighed against the importance of the goals.
135,How can we say technically about a rational utility-based agent?,"""It chooses the action that maximizes the expected utility of the action outcomes—that is"
136,What will happen if an agent possesses an explicit utility function?,It can make rational decisions with a general-purpose algorithm that does not depend on the specific utility function being maximized.
137,What is hard in utility-based function?,A utility-based agent has to model and keep track of its environment; Choosing the utility-maximizing course of action.
138,What is the advantage for agent to learn?,It allows the agent to operate in initially unknown environments and to become more competent than its initial knowledge alone might allow.
139,What is the conceptual components for a learning agent?,Learning element; Performance element; Critic; Problem Generator.
140,What does the learning element in the components for a learning agent do?,It is responsible for making improvements.
141,What does the performance element in the components for a learning agent do?,It is responsible for selecting external actions.
142,What does the critic in the components for a learning agent do?,The critic tells the learning element how well the agent is doing with respect to a fixed performance standard.
143,How should we think when we are trying to design an agent that learns a certain capability?,The first question is not “How am I going to get it to learn this?” but “What kind of performance element will my agent use to do this once it has learned how?”
144,Why critic is necessary for a learning agent?,The percepts themselves provide no indication of the agent's success.
145,What does the problem generator in the components for a learning agent do?,It is responsible for suggesting actions that will lead to new and informative experiences.
146,What will happen if an agent is willing to explore a little and do some perhaps suboptimal actions in the short run?,It might discover much better actions for the long run.
147,What is needed when we are trying to learn a reflex component or a utility function?,Information from the external standard.
148,What does the performance standard distinguishes part of the incoming percept as?,A reward or penalty that provides direct feedback on the quality of the agent's behavior.
149,How can we rank the representations of task environments in their expressiveness?,"""Atomic"
150,What does a particular agent component that deals with “What my actions do” do?,"""It describes the changes that might occur in the environment as the result of taking an action"
151,What happens in an atomic representation?,Each state of the world is indivisible—it has no internal structure.
152,What are the examples of areas work with atomic representations?,"""Search and game-playing"
153,What does a factored representation do?,"""It splits up each state into a fixed set of variables or attributes"
154,What are the examples of areas work with factored representations?,"""Constraint satisfaction algorithms"
155,What happens in a structured representation?,Objects and their various and varying relationships can be described explicitly
156,When we need the structured representation?,"""When we need to understand the world as having things in it that are related to each other"
157,What are the examples of areas work with structured representations?,"""Relational databases and first-order logic"
158,How reasoning and learning changes following to the expressive power of the representation of an agent's environment?,Reasoning and learning become more complex as the expressive power of the representation increases.
159,How can we gain the benefits of expressive representations of agent environments while avoiding their drawbacks?,Intelligent systems for the real world may need to operate at all points along the axis simultaneously
160,What happens in a localist representation?,There is a one-to-one mapping between concepts and memory locations.
161,What happens in a distributed representation?,"""The representation of a concept is spread over many memory locations"
162,"""Which representations are more robust against noise and information loss","localist one or distributed one?"""
163,What bad situation might happen using localist representations?,"""The mapping from concept to memory location is arbitrary"
164,What is the definition of problem-solving agent?,An agent that need to plan ahead: to consider a sequence of actions that form a path to a goal state.
165,What is the definition of search?,The computational process that a problem-solving agent undertakes.
166,What representations do Problem-solving agents use?,Atomic representations.
167,What happens to informed algorithms?,The agent can estimate how far it is from the goal.
168,What happens to uninformed algorithms?,The agent cannot estimate how far it is from the goal.
169,What is the four-phrase problem-solving process?,Goal formulation; problem formulation; Search; Execution.
170,What an agent does in goal formulation phase?,The agent adopts the goal of a task.
171,How does the goals act in an agent's goal formulation phase?,Goals organize behavior by limiting the objectives and hence the actions to be considered.
172,What an agent does in problem formulation phase?,The agent devises a description of the states and actions necessary to reach the goal—an abstract model of the relevant part of the world.
173,What an agent does in search phase?,"""Before taking any action in the real world"
174,What is the definition of solution for problem-solving agent?,A sequence of actions that reaches the goal.
175,What an agent does in execution phase?,"""The agent excute the actions in the solution"
176,"""How is the solution in a fully observable",deterministic
177,What open-loop system is by the control theorists?,A system ignoring the percepts breaks the loop between agent and environment.
178,"""Which loop is more safer for a problem-solving agent","open-loop or closed-loop?"""
179,How is the solution in a partially observable or nondeterministic environment?,A solution would be a branching strategy that recommends different future actions depending on what percepts arrive.
180,What is the definition of the state space?,A set of possible states that the environment can be in.
181,What is the definition of the initial state?,The state that the agent starts in.
182,What is the definition of the goal states?,A set of states that are goals to the agent.
183,What is the definition of transition model to problem-solving agent?,A model which describes what each action does.
184,What is the definition of action cost function?,A function reflects an agent's own performance measure.
185,"""What is the definition of a search """"problem""""?""","""The combination of a state space"
186,What is the definition of an optimal solution?,The solution having the lowest path cost.
187,What is the possible meaning of model?,"""An abstract mathematical description"
188,What is the definition of abstraction?,The process of removing detail from a representation.
189,How can we say an abstraction is good?,It involves removing as much detail as possible while retaining validity and ensuring that the abstract actions are easy to carry out.
190,What will happen if we don't have the ability to construct useful abstractions?,The intelligent agents would be completely swamped by the real world.
191,What is the definition of standardized problem?,It is intended to illustrate or exercise various problem-solving methods.
192,How can researchers use a standardized problem?,A standardized problem is suitable as a benchmark for researchers to compare the performance of algorithms.
193,What is the definition of real-world problem?,"""It is one whose solutions people actually use"
194,What is a grid world problem?,It is a two-dimensional rectangular array of square cells in which agents can move from cell to cell.
195,What agents can do to objects in cells in a grid world problem?,"""Cells can contain objects"
196,What wall or impassible obstacles do in a grid world problem?,Those things in a cell prevents an agent from moving into that cell.
197,What is the example of a grid world problem?,Sokoban puzzle.
198,What is a sokoban puzzle?,"""It is a puzzle that the agent's goal is to push a number of boxes"
199,What is a sliding-tile puzzle?,It is a puzzle that a number of tiles (sometimes called blocks or pieces) are arranged in a grid with one or more blank spaces so that some of the tiles can slide into the blank space.
200,What is a touring problem?,"""It is a problem that describes a set of locations that must be visited"
201,What is the traveling salesperson problem (TSP)?,It is a touring problem in which every city on a map must be visited.
202,What does a VLSI layout problem requires?,It requires positioning millions of components and connections on a chip.
203,What does a VLSI layout problem aims to?,"""It aims to minimize area"
204,How does the VLSI layout problem be splited?,It is split into two parts: cell layout and channel routing.
205,What is the difference of robot navigation from following distinct paths?,"""A robot can roam around"
206,What problem do real robots must also deal with in robot navigation?,"""Their sensor readings and motor controls"
207,Since when does the automatic assembly sequencing of complex objects (such as electric motors) by a robot have been standard industry practice?,1970s.
208,What is protein design?,"""It is an assembly problem"
209,What is the definition of search algorithm?,"""A search algorithm takes a search problem as input and returns a solution"
210,What does a node in a search tree corresponds to?,A state in the state space.
211,What does an edge in a search tree corresponds to?,An action.
212,What does the root in a search tree corresponds to?,The initial state of the problem.
213,What is the distinction of the state space from the search tree?,"""The state space describes the (possibly infinite) set of states in the world"
214,What is the distinction of the search tree from the state space?,"""The search tree describes paths between these states"
215,What is the process of expanding a node?,"""We can expand the node"
216,"""If A is a child node of B","what B is of A?"""
217,What is the essence of search?,Following up one option now and putting the others aside for later.
218,How can we say a node is reached?,The node has had a node generated for it.
219,What is best-first search?,"""We choose a node"
220,What is node?,A node in the tree is represented by a data structure with four components: State; Parent; Action; Path cost.
221,What is the componenets of a node?,State; Parent; Action; Path cost.
222,What is queue?,A data structure used to store the frontier.
223,What are the possible operations on a frontier?,check whether it is empty; remove the top node; return the top node; insert node into proper place
224,What is a priority queue?,"""A kind of queue which first pops the node with the minimum cost according to some evaluation function"
225,Where does a priority queue might be used?,It is used in best-first search.
226,What is a first-in-first-out (FIFO) queue?,A kind of queue which  first pops the node that was added to the queue first.
227,Where does a FIFO queue might be used?,It is used in breadth-first search.
228,What is a last-in-first-out (LIFO) queue?,A kind of queue which  first pops the node that was added most recently to the queue.
229,Where does a LIFO queue might be used?,It is used in depth-first search.
230,What is the example of loopy path in a search?,The search goes repeatedly between two states.
231,what is the possible consequence if loopy path occurs in a search?,The complete search tree is infinite.
232,What should be eliminated in the search?,Redundant paths.
233,What possible methods can be used to eliminate redundant paths?,Remember all previously reached states to detect redundant paths; do not consider it for minor problem formulations; only check for cycles but not for redundant paths in general.
234,What is a graph search?,A search algorithm which checks for redundant paths.
235,What is a tree-like search?,A search algorithm which does not check for redundant paths.
236,What is an example of graph search algorithm?,The Brst-First-Search algorithm.
237,What are the evaluation methods on an algorithm’s performance?,Completeness; Cost optimality; Time complexity; Space complexity.
238,What does Completeness evaluates specificly on an algorithm's performance?,"""Is the algorithm guaranteed to find a solution when there is one"
239,What does Cost optimality evaluates specificly on an algorithm's performance?,Does it find a solution with the lowest path cost of all solutions?
240,What does Time complexity evaluates specificly on an algorithm's performance?,"""How long does it take to find a solution? This can be measured in seconds"
241,What does Space complexity evaluates specificly on an algorithm's performance?,How much memory is needed to perform the search?
242,What kind of search algorithm will be complete?,"""A search algorithm which is systematic in the way it explores an infinite state space"
243,What evaluation methods on an algorithm’s performance are considered with respect to some measure of the problem difficulty?,Time and space complexity.
244,What variables can we use in measuring the complexity of an algorithm?,"""d"
245,What is an informed search strategy?,One that uses domain-specific hints about the location of goals.
246,What is heuristic function?,The estimated cost of the cheapest path from the state at node n to a goal state.
247,What is Greedy best-first search?,Greedy best -first search is a form of best-first search that expands first the node with the lowest value on the grounds that this is likely to lead to a solution quickly.
248,Why the algorithm is called “greedy”?,"""On each iteration it tries to get as close to a goal as it can"
249,What is A* search?,A* search is a best-first search that uses the evaluation function f(n) = g(n) + h(n).
250,What is g(n)?,g(n) is the path cost from the initial state to node n.
251,What is f(n)?,f(n) is the estimated cost of the best path that continues from n to a goal.
252,What is the properties of A* search?,"""A* search is complete"
253,What is the drawback of A* search?,A* search uses a lot of space and memory.
254,What is an admissible heuristic?,An admissible heuristic is one that never overestimates the cost to reach a goal.
255,What is a contour?,A contour is a useful way to visualize a search by drawing it in the state space.
256,Does uniform-cost search has contours?,"""Yes"
257,What does the contours with uniform-cost search look like?,"""The contours with uniform-cost search will be “circular” around the start state"
258,What is satisficing solutions?,"""Satisficing solutions are when we accept solutions that are suboptimal"
259,What is bounded suboptimal search?,We look for a solution that is guaranteed to be within a constant factor W of the optimal cost.
260,Which algorith provides bounded suboptimal search?,Weighted A* provides bounded suboptimal search.
261,What is bounded-cost search?,We look for a solution whose cost is less than some constant C.
262,What is unbounded-cost search?,"""We accept a solution of any cost"
263,What is the example of an unbounded-cost search algorithm?,An example of an unbounded-cost search algorithm is speedy search.
264,What is speedy search?,"""The speedy search is a version of greedy best-first search that uses as a heuristic the estimated number of actions required to reach a goal"
265,What is Iterative-deepening A* search?,Iterative-deepening A* search (IDA*) is to A* what iterative-deepening search is to depthfirst.
266,What is the benefits of Iterative-deepening A* search?,"""Iterative-deepening A* search gives us the benefits of A* without the requirement to keep all reached states in memory"
267,What is recursive best-first search?,"""Recursive best-first search attempts to mimic the operation of standard best-first search"
268,What is beam search?,"""Beam search puts a limit on the size of the frontier; that makes it incomplete and suboptimal"
269,How to construct good heuristics?,""" One can sometimes construct good heuristics by relaxing the problem definition"
270,How do local search algoritms function?,"""Local search algorithms operate by searching from a start state to neighboring states"
271,Are local search algoritms systematic?,"""No"
272,What are the advantages of local search algorithms?,They use very little memory; and they can often find reasonable solutions in large or infinite state spaces for which systematic algorithms are unsuitable.
273,What is hill-climbing search algorithm?,The hill-climbing search algorithm keeps track of one current state and on each iteration moves to the neighboring state with highest value.
274,Why hill climbing is called greedy local search?,Hill climbing is called greedy local search because it grabs a good neighbor state without thinking ahead about where to go next.
275,What is the drawback of hill climbing?,"""Hill climbing can get stuck when it reaches local maxima"
276,What is a local maximum?,A local maximum is a peak that is higher than each of its neighboring states but lower than the global maximum.
277,What is a plateau?,A plateau is a flat area of the state-space landscape.
278,What are the examples of plauteau?,"""A plauteau is a flat local maximum"
279,What is stochastic hill climbing?,Stochastic hill climbing  chooses at random from among the uphill moves; the probability of selection can vary with the steepness of the uphill move.
280,What is first-choice hill climbing?,A first-choice hill climbing implements stochastic hill climbing by generating successors randomly until one is generated that is better than the current state.
281,What is random-restart hill climbing?,"""A random-restart hill climbing conducts a series of hill-climbing searches from randomly generated initial states"
282,How to get a success hill climbing?,"""A success hill climbing depends very much on the shape of the state-space landscape: if there are few local maxima and plateaus"
283,What is simulated annealing?,A simulated annealing combines hill climbing with a random walk in a way that yields both efficiency and completeness.
284,What is annealing?,"""Annealing is the process used to temper or harden metals and glass by heating them to a high temperature and then gradually cooling them"
285,What is local beam search?,The local beam search algorithm keeps track of k states rather than just one.
286,How does the local beam search operate?,"""It begins with k randomly generated states. At each step"
287,What is evolutionary algoritms?,Evolutionary algorithms can be seen as variants of stochastic beam search that are explicitly motivated by the metaphor of natural selection in biology.
288,What is genetic algorithm?,"""Genetic algorithms are similar to stochastic beam search"
289,When is the genetic algorithm advantageous?,Genetic algorithm is advantageous when there are blocks that perform useful functions.
290,What are empirical gradient methods?,Empirical gradient methods are methods that measure progress by the change in the value of the objective function between two nearby points
291,What is a belief state?,A belief state is a set of physical states that the agent believes are possible.
292,What is a sensorless problem?,A sensorless problem is when the agent’s percepts provide no information at all.
293,What are offline search algorithms?,Offline search algorithms compute a complete solution before taking their first action.
294,What are online search algorithms?,"""Online search algorithms take an action first"
295,How is an online search problem solved?,"""An online search problem is solved by interleaving computation"
296,What is competitive ratio?,Competitive ratio is the comparison of the cost with the path cost the agent would incur if it knew the search space in advance.
297,What are dead ends?,Dead ends are states from which no goal state is reachable.
298,What is the meaning of safely explorable?,Safely explorable is when some goal state is reachable from every reachable state.
299,What is random walk?,A random walk simply selects at random one of the available actions from the current state
300,What are competitive environments?,Competitive environments are in which two or more agents have conflicting goals.
301,What is an economy?,An economy is to consider a very large number of agents in the aggregate.
302,What are the examples of games that include an element of chance?,The examples are rolling dice or shuffling cards.
303,What are the examples of games of imperfect information?,"""The examples are poker and bridge"
304,"""What is """"perfect information""""?""",Perfect information is when the game is fully observable.
305,"""What is """"zero-sum""""?""",“Zero-sum” means that what is good for one player is just as bad for the other: there is no “win-win” outcome.
306,What are the formally defined elements of a game?,"""A game can be formally defined with initial state"
307,What is a terminal test?,A terminal test is true when the game is over and false if otherwise.
308,What is terminal states?,Terminal states are states where the game has ended.
309,What is a utility function?,A utility function defines the final numeric value to player p when the game ends in terminal state s.
310,What are the other names of a utility function?,The other names of a utility function are an objective function or payoff function.
311,What is a state space graph?,"""A state space graph is a graph where the vertices are states"
312,When do we use minimax search?,We uses minimax search for games with multiple outcome scores.
313,What is ply?,"""Ply is used to unambiguously mean one move by one player"
314,What is the minimax search algorithm?,The minimax search algorithm finds the best move for MAX by trying all actions and choosing the one whose resulting state has the highest MINIMAX value.
315,Is the minimax search algorithm recursive?,"""Yes"
316,What is the time complexity for the minimax search algorithm?,The time complexity of the minimax algorithm is O(b^m) if the maximum depth of the tree is m and there are b legal moves at each point.
317,What is alpha–beta pruning?,The alpha–beta pruning is the particular technique when we compute the correct minimax decision without examining every state by pruning large parts of the tree that make no difference to the outcome.
318,What is Type A strategy?,"""A Type A strategy considers all possible moves to a certain depth in the search tree"
319,What is Type B strategy?,"""A Type B strategy ignores moves that look bad"
320,What is the difference between the Type A strategy and Type B strategy?,"""Type A strategy explores a wide but shallow portion of the tree"
321,What is the example of games with Type A strategy?,Most of the chess programs have been Type A strategy.
322,What is the example of games with Type B strategy,Most of the Go programs are more often Type B strategy.
323,What is forward pruning?,"""A forward pruning prunes moves that appear to be poor moves"
324,Why we use Monte Carlo tree search?,"""We use Monte Carlo tree search because  alpha–beta search would be limited to only 4 or 5 ply and"
325,What are sto4chastic games?,"""Stochastic games bring us a little closer to the unpredictability of real life by including a random element"
326,What is the example of stochastic games?,Backgammon is a typical stochastic game that combines luck and skill.
327,What are partially obsercable games?,Partially observable games  includes the use of scouts and spies to gather information and the use of concealment and bluff to confuse the enemy.
328,What are the examples of partially obsercable games?,Video games such as StarCraft is the example of partially obsercable game.
329,What are stochastic partial observable games?,Stochastic partial observable games are where the missing information is generated by the random dealing of cards.
330,What are the examples of stochastic partial observable games?,"""Card games such as bridge"
331,When is Monte Carlo search preferred?,"""When the branching factor is high or it is difficult to define an evaluation function"
332,What is the limitation of alpha–beta search?,The limitation of alpha–beta search is its vulnerability to errors in the heuristic function.
333,What is the limitation of Monte Carlo search?,The limitation of Monte Carlo is that it is designed to calculate the values of legal moves.
334,What is metareasoning?,Metareasoning is the kind of reasoning about what computations to do.
335,What is a constraint satisfaction problem?,A constraint satisfaction problem is A problem that is solved when each variable has a value that satisfies all the constraints on the variable.
336,What are the components of a constraint satisfaction problem?,"""The three components are a set of variables (X)"
337,What is a consistent or legal assignment?,A consistent or legal assignment is an assignment that does not violate any constraints.
338,What is a complete assignment?,A complete assignment is one in which every variable is assigned a value.
339,What is a solution to a CSP?,"""A solution to a CSP is a consistent"
340,What is a partial assignment?,A partial assignment is one that leaves some variables unassigned.
341,What is a partial solution?,A partial solution is a partial assignment that is consistent.
342,Why do we formulate a problem as a CSP?,One reason is that the CSPs yield a natural representation for a wide variety of problems; it is often easy to formulate a problem as a CSP.
343,What are linear constraints?,Linear constraints are  constraints in which each variable appears only in linear form.
344,What is unary constraint?,A unary constraint restricts the value of a single variable.
345,What is a global constraint?,A global constraint is a constraint involving an arbitrary number of variables.
346,What is constraint propagation?,"""It is using the constraints to reduce the number of legal values for a variable"
347,What is node-consistency?,A single variable is node-consistent if all the values in the variable’s domain satisfy the variable’s unary constraints.
348,What is arc-consistent?,A variable in a CSP is arc-consistent if every value in its domain satisfies the variable’s binary constraints.
349,What is the example of algorithm that enforce arc consistency?,The most popular algorithm for enforcing arc consistency is called AC-3.
