question,answers
artificial inteligence system defeated world chess champion garry kasparov 1997,deep blue
artificial inteligence system defeated world go champion ke jie,alphago
alphazero,it used no input from humans except for the rules of the game
deep learning model,which won the 2018 gordon bell prize
noted mechanical arts ambiguous use,serving as well for hurt as for remedy
statement mechanical arts ambiguous use,serving as well for hurt as for remedy be noted
suggested first solve artificial inteligence,then use artificial inteligence to solve everything else
united nations define lethal autonomous weapons,weapons that can locate
possible risks might face devoloping artificial inteligence,lethal autonomous weapons
reminded field broader goals warned subfields danger becoming ends,nils nilsson 1995
motivated consider longterm future artificial inteligence seeing arthur samuels checkerplaying program learn beat creator,norbert wiener
kind midas problem implies,midas
definition agent,anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators
word percept refer,it refer to the content an agents sensors are perceiving
agents percept sequence,the complete history of everything the agent has ever perceived
general,what does an agents choice of action at any given instant depend on
say mathematically agents behavior,an agents behavior is described by the agent function that maps any given percept sequence to an action
artificial inteligence stucked consequentialism,we evaluate an agents behavior by its consequences
capture desirability related consequentialism artificial inteligence model,it can be captured by a performance measure that evaluates any given sequence of environment states
difference desirability human machine,human measures it from their point of view
warns ensure purpose put machine purpose really desire,norbert wiener
king midas problem inspire us,we must accept the possibility that we might put the wrong purpose into the machine
definition rational depends,the performance measure that defines the criterion of success the agents prior knowledge of the environment the actions that the agent can perform the agent’s percept sequence to date
difference omniscience rationality,an omniscient agent knows the actual outcome of its actions and can act accordingly but omniscience is impossible in reality
relationship rationality perfection,rationality maximizes expected performance
information gathering means,doing actions in order to modify future percepts
say agent lacks autonomy,an agent relies on the prior knowledge of its designer rather than on its own percepts and learning processes
autonomous rational agent,it should learn what it can to compensate for partial or incorrect prior knowledge
task environments,they are essentially the problems to which rational agents are the solutions
peas description,specify the performance measure
range task environments might arise artificial inteligence obviously vast,we can identify a fairly small number of dimensions along which task environments can be categorized
dimensions indentify task environments,fully observable vs partially observable singleagent vs multiagent deterministic vs nondeterministic episodic vs sequential static vs dynamic discrete vs continuous known vs unknown
say task environment fully observable,an agents sensors give it access to the complete state of the environment at each point in time
say task environment deterministic,the next state of the environment is completely determined by the current state and the action executed by the agents
task environment makes agent need worry uncertainty,fully observable and deterministic
difference stochastic nondeterministic,we say that a model of the environment is stochastic if it explicitly deals with probabilities eg
say task environment episodic,the agents experience is divided into atomic episodes
say task environment sequential,the current decision of agent could affect all future decisions
examples episodic sequential task environments,many classification tasks are episodic chess and taxi driving are sequential
episodic environments much simpler sequential environments,the agent does not need to think ahead
say task environment dynamic agent,the environment can change while an agent is deliberating
say task environment static agent,the environment cannot change while an agent is deliberating
static task envrionments easy deal,the agent need not keep looking at the world while it is deciding on an action
say task environment semidynamic,the environment itself does not change with the passage of time but the agents performance score does
examples dynamic,semidynamic and static task environments
differences discrete continuous task environments,the state of the environment
examples discrete continuous task environments,chess has a finite number of distinct states excluding the clock
known unknown task environment refers,the agents or designers state of knowledge about the laws of physics of the environment
say task environment known,the outcomes or outcome probabilities if the environment is nondeterministic for all actions are given
say task environment unknown,the agent will have to learn how it works in order to make good decisions
example partially observable known task environment,in solitaire card games
example fully observable unknown task environment,in a new video game
kind task environment hardest case,partially observable
agent function,the mapping from percepts to actions
agent architecture,a program will run on some sort of computing device with physical sensors and actuators
architecture program,in general
four basic kinds agent programs embody principles underlying almost intelligent systems,simple reflex agents modelbased reflex agents goalbased agents and utilitybased agents
simple reflex agents,these agents select actions on the basis of the current percept
conditionaction rule similar,ifthen statements
general flexible approach simple reflex agent,firstly build a generalpurpose interpreter for conditionaction rules and then to create rule sets for specific task environments
simple reflex agen escape infinite loops,the agent can randomize its actions
better instead allowing simple reflex agents randomize actions,a more sophisticated deterministic agent
effective way handle partial observability agent,the agent should maintain some sort of internal state that depends on the percept history and thereby reflects at least some of the unobserved aspects of the current state
kind knowledge required updating modelbased reflex agents internal state information time goes,first
information world changes time modelbased reflex agent divided,the effects of the agents actions and how the world evolves independently of the agent
knowledge world works called,the transition model of the world
sensor model modelbased reflex agent,a kind of knowledge
definition modelbased reflex agent,an agent using transition model and sensor model
transition model sensor model function modelbased reflex agent,allow an agent to keep track of the state of the world
part modelbased reflex agents structure interesting,the function which is responsible for creating the new internal state description
modelbased reflex agents knowing current world actually,it represents the agents best guess
goal information agents,it describes situations that are desirable
goalbased agent appears flexible,it may appears less efficient
economists computer scientists use term utility instead,it is because it sounds more scientific then words like happy
happen internal utility function external performance measure agreement,an agent that chooses actions to maximize its utility will be rational according to the external performance measure
utility function conflicting goals,it specifies the appropriate tradeoff
utility function several goals agent aim,it provides a way in which the likelihood of success can be weighed against the importance of the goals
say technically rational utilitybased agent,it chooses the action that maximizes the expected utility of the action outcomes—that is
happen agent possesses explicit utility function,it can make rational decisions with a generalpurpose algorithm that does not depend on the specific utility function being maximized
hard utilitybased function,a utilitybased agent has to model and keep track of its environment choosing the utilitymaximizing course of action
advantage agent learn,it allows the agent to operate in initially unknown environments and to become more competent than its initial knowledge alone might allow
conceptual components learning agent,learning element performance element critic problem generator
learning element components learning agent,it is responsible for making improvements
performance element components learning agent,it is responsible for selecting external actions
critic components learning agent,the critic tells the learning element how well the agent is doing with respect to a fixed performance standard
think trying design agent learns certain capability,the first question is not how am i going to get it to learn this but what kind of performance element will my agent use to do this once it has learned how
critic necessary learning agent,the percepts themselves provide no indication of the agents success
problem generator components learning agent,it is responsible for suggesting actions that will lead to new and informative experiences
happen agent willing explore little perhaps suboptimal actions short run,it might discover much better actions for the long run
needed trying learn reflex component utility function,information from the external standard
performance standard distinguishes part incoming percept,a reward or penalty that provides direct feedback on the quality of the agents behavior
rank representations task environments expressiveness,atomic
particular agent component deals actions,it describes the changes that might occur in the environment as the result of taking an action
happens atomic representation,each state of the world is indivisible—it has no internal structure
examples areas work atomic representations,search and gameplaying
factored representation,it splits up each state into a fixed set of variables or attributes
examples areas work factored representations,constraint satisfaction algorithms
happens structured representation,objects and their various and varying relationships can be described explicitly
need structured representation,when we need to understand the world as having things in it that are related to each other
examples areas work structured representations,relational databases and firstorder logic
reasoning learning changes following expressive power representation agents environment,reasoning and learning become more complex as the expressive power of the representation increases
gain benefits expressive representations agent environments avoiding drawbacks,intelligent systems for the real world may need to operate at all points along the axis simultaneously
happens localist representation,there is a onetoone mapping between concepts and memory locations
happens distributed representation,the representation of a concept is spread over many memory locations
representations robust noise information loss,localist one or distributed one
bad situation might happen using localist representations,the mapping from concept to memory location is arbitrary
definition problemsolving agent,an agent that need to plan ahead to consider a sequence of actions that form a path to a goal state
definition search,the computational process that a problemsolving agent undertakes
representations problemsolving agents use,atomic representations
happens informed algorithms,the agent can estimate how far it is from the goal
happens uninformed algorithms,the agent cannot estimate how far it is from the goal
fourphrase problemsolving process,goal formulation problem formulation search execution
agent goal formulation phase,the agent adopts the goal of a task
goals act agents goal formulation phase,goals organize behavior by limiting the objectives and hence the actions to be considered
agent problem formulation phase,the agent devises a description of the states and actions necessary to reach the goal—an abstract model of the relevant part of the world
agent search phase,before taking any action in the real world
definition solution problemsolving agent,a sequence of actions that reaches the goal
agent execution phase,the agent excute the actions in the solution
solution fully observable,deterministic
openloop system control theorists,a system ignoring the percepts breaks the loop between agent and environment
loop safer problemsolving agent,openloop or closedloop
solution partially observable nondeterministic environment,a solution would be a branching strategy that recommends different future actions depending on what percepts arrive
definition state space,a set of possible states that the environment can be in
definition initial state,the state that the agent starts in
definition goal states,a set of states that are goals to the agent
definition transition model problemsolving agent,a model which describes what each action does
definition action cost function,a function reflects an agents own performance measure
definition search problem,the combination of a state space
definition optimal solution,the solution having the lowest path cost
possible meaning model,an abstract mathematical description
definition abstraction,the process of removing detail from a representation
say abstraction good,it involves removing as much detail as possible while retaining validity and ensuring that the abstract actions are easy to carry out
happen dont ability construct useful abstractions,the intelligent agents would be completely swamped by the real world
definition standardized problem,it is intended to illustrate or exercise various problemsolving methods
researchers use standardized problem,a standardized problem is suitable as a benchmark for researchers to compare the performance of algorithms
definition realworld problem,it is one whose solutions people actually use
grid world problem,it is a twodimensional rectangular array of square cells in which agents can move from cell to cell
agents objects cells grid world problem,cells can contain objects
wall impassible obstacles grid world problem,those things in a cell prevents an agent from moving into that cell
example grid world problem,sokoban puzzle
sokoban puzzle,it is a puzzle that the agents goal is to push a number of boxes
slidingtile puzzle,it is a puzzle that a number of tiles sometimes called blocks or pieces are arranged in a grid with one or more blank spaces so that some of the tiles can slide into the blank space
touring problem,it is a problem that describes a set of locations that must be visited
traveling salesperson problem tsp,it is a touring problem in which every city on a map must be visited
vlsi layout problem requires,it requires positioning millions of components and connections on a chip
vlsi layout problem aims,it aims to minimize area
vlsi layout problem splited,it is split into two parts cell layout and channel routing
difference robot navigation following distinct paths,a robot can roam around
problem real robots must also deal robot navigation,their sensor readings and motor controls
since automatic assembly sequencing complex objects electric motors robot standard industry practice,1970s
protein design,it is an assembly problem
definition search algorithm,a search algorithm takes a search problem as input and returns a solution
node search tree corresponds,a state in the state space
edge search tree corresponds,an action
root search tree corresponds,the initial state of the problem
distinction state space search tree,the state space describes the possibly infinite set of states in the world
distinction search tree state space,the search tree describes paths between these states
process expanding node,we can expand the node
child node,what b is of a
essence search,following up one option now and putting the others aside for later
say node reached,the node has had a node generated for it
bestfirst search,we choose a node
node,a node in the tree is represented by a data structure with four components state parent action path cost
componenets node,state parent action path cost
queue,a data structure used to store the frontier
possible operations frontier,check whether it is empty remove the top node return the top node insert node into proper place
priority queue,a kind of queue which first pops the node with the minimum cost according to some evaluation function
priority queue might used,it is used in bestfirst search
firstinfirstout fifo queue,a kind of queue which first pops the node that was added to the queue first
fifo queue might used,it is used in breadthfirst search
lastinfirstout lifo queue,a kind of queue which first pops the node that was added most recently to the queue
lifo queue might used,it is used in depthfirst search
example loopy path search,the search goes repeatedly between two states
possible consequence loopy path occurs search,the complete search tree is infinite
eliminated search,redundant paths
possible methods used eliminate redundant paths,remember all previously reached states to detect redundant paths do not consider it for minor problem formulations only check for cycles but not for redundant paths in general
graph search,a search algorithm which checks for redundant paths
treelike search,a search algorithm which does not check for redundant paths
example graph search algorithm,the brstfirstsearch algorithm
evaluation methods algorithm’s performance,completeness cost optimality time complexity space complexity
completeness evaluates specificly algorithms performance,is the algorithm guaranteed to find a solution when there is one
cost optimality evaluates specificly algorithms performance,does it find a solution with the lowest path cost of all solutions
time complexity evaluates specificly algorithms performance,how long does it take to find a solution this can be measured in seconds
space complexity evaluates specificly algorithms performance,how much memory is needed to perform the search
kind search algorithm complete,a search algorithm which is systematic in the way it explores an infinite state space
evaluation methods algorithm’s performance considered respect measure problem difficulty,time and space complexity
variables use measuring complexity algorithm,d
informed search strategy,one that uses domainspecific hints about the location of goals
heuristic function,the estimated cost of the cheapest path from the state at node n to a goal state
greedy bestfirst search,greedy best first search is a form of bestfirst search that expands first the node with the lowest value on the grounds that this is likely to lead to a solution quickly
algorithm called greedy,on each iteration it tries to get as close to a goal as it can
search,a search is a bestfirst search that uses the evaluation function fn = gn + hn
gn,gn is the path cost from the initial state to node n
fn,fn is the estimated cost of the best path that continues from n to a goal
properties search,a search is complete
drawback search,a search uses a lot of space and memory
admissible heuristic,an admissible heuristic is one that never overestimates the cost to reach a goal
contour,a contour is a useful way to visualize a search by drawing it in the state space
uniformcost search contours,yes
contours uniformcost search look like,the contours with uniformcost search will be circular around the start state
satisficing solutions,satisficing solutions are when we accept solutions that are suboptimal
bounded suboptimal search,we look for a solution that is guaranteed to be within a constant factor w of the optimal cost
algorith provides bounded suboptimal search,weighted a provides bounded suboptimal search
boundedcost search,we look for a solution whose cost is less than some constant c
unboundedcost search,we accept a solution of any cost
example unboundedcost search algorithm,an example of an unboundedcost search algorithm is speedy search
speedy search,the speedy search is a version of greedy bestfirst search that uses as a heuristic the estimated number of actions required to reach a goal
iterativedeepening search,iterativedeepening a search ida is to a what iterativedeepening search is to depthfirst
benefits iterativedeepening search,iterativedeepening a search gives us the benefits of a without the requirement to keep all reached states in memory
recursive bestfirst search,recursive bestfirst search attempts to mimic the operation of standard bestfirst search
beam search,beam search puts a limit on the size of the frontier that makes it incomplete and suboptimal
construct good heuristics,one can sometimes construct good heuristics by relaxing the problem definition
local search algoritms function,local search algorithms operate by searching from a start state to neighboring states
local search algoritms systematic,no
advantages local search algorithms,they use very little memory and they can often find reasonable solutions in large or infinite state spaces for which systematic algorithms are unsuitable
hillclimbing search algorithm,the hillclimbing search algorithm keeps track of one current state and on each iteration moves to the neighboring state with highest value
hill climbing called greedy local search,hill climbing is called greedy local search because it grabs a good neighbor state without thinking ahead about where to go next
drawback hill climbing,hill climbing can get stuck when it reaches local maxima
local maximum,a local maximum is a peak that is higher than each of its neighboring states but lower than the global maximum
plateau,a plateau is a flat area of the statespace landscape
examples plauteau,a plauteau is a flat local maximum
stochastic hill climbing,stochastic hill climbing chooses at random from among the uphill moves the probability of selection can vary with the steepness of the uphill move
firstchoice hill climbing,a firstchoice hill climbing implements stochastic hill climbing by generating successors randomly until one is generated that is better than the current state
randomrestart hill climbing,a randomrestart hill climbing conducts a series of hillclimbing searches from randomly generated initial states
get success hill climbing,a success hill climbing depends very much on the shape of the statespace landscape if there are few local maxima and plateaus
simulated annealing,a simulated annealing combines hill climbing with a random walk in a way that yields both efficiency and completeness
annealing,annealing is the process used to temper or harden metals and glass by heating them to a high temperature and then gradually cooling them
local beam search,the local beam search algorithm keeps track of k states rather than just one
local beam search operate,it begins with k randomly generated states at each step
evolutionary algoritms,evolutionary algorithms can be seen as variants of stochastic beam search that are explicitly motivated by the metaphor of natural selection in biology
genetic algorithm,genetic algorithms are similar to stochastic beam search
genetic algorithm advantageous,genetic algorithm is advantageous when there are blocks that perform useful functions
empirical gradient methods,empirical gradient methods are methods that measure progress by the change in the value of the objective function between two nearby points
belief state,a belief state is a set of physical states that the agent believes are possible
sensorless problem,a sensorless problem is when the agent’s percepts provide no information at all
offline search algorithms,offline search algorithms compute a complete solution before taking their first action
online search algorithms,online search algorithms take an action first
online search problem solved,an online search problem is solved by interleaving computation
competitive ratio,competitive ratio is the comparison of the cost with the path cost the agent would incur if it knew the search space in advance
dead ends,dead ends are states from which no goal state is reachable
meaning safely explorable,safely explorable is when some goal state is reachable from every reachable state
random walk,a random walk simply selects at random one of the available actions from the current state
competitive environments,competitive environments are in which two or more agents have conflicting goals
economy,an economy is to consider a very large number of agents in the aggregate
examples games include element chance,the examples are rolling dice or shuffling cards
examples games imperfect information,the examples are poker and bridge
perfect information,perfect information is when the game is fully observable
zero sum,zero sum means that what is good for one player is just as bad for the other there is no winwin outcome
formally defined elements game,a game can be formally defined with initial state
terminal test,a terminal test is true when the game is over and false if otherwise
terminal states,terminal states are states where the game has ended
utility function,a utility function defines the final numeric value to player p when the game ends in terminal state s
names utility function,the other names of a utility function are an objective function or payoff function
state space graph,a state space graph is a graph where the vertices are states
use minimax search,we uses minimax search for games with multiple outcome scores
ply,ply is used to unambiguously mean one move by one player
minimax search algorithm,the minimax search algorithm finds the best move for max by trying all actions and choosing the one whose resulting state has the highest minimax value
minimax search algorithm recursive,yes
time complexity minimax search algorithm,the time complexity of the minimax algorithm is ob^m if the maximum depth of the tree is m and there are b legal moves at each point
alpha–beta pruning,the alpha–beta pruning is the particular technique when we compute the correct minimax decision without examining every state by pruning large parts of the tree that make no difference to the outcome
type strategy,a type a strategy considers all possible moves to a certain depth in the search tree
type strategy,a type b strategy ignores moves that look bad
difference type strategy type strategy,type a strategy explores a wide but shallow portion of the tree
example games type strategy,most of the chess programs have been type a strategy
example games type strategy,most of the go programs are more often type b strategy
forward pruning,a forward pruning prunes moves that appear to be poor moves
use monte carlo tree search,we use monte carlo tree search because alpha–beta search would be limited to only 4 or 5 ply and
sto4chastic games,stochastic games bring us a little closer to the unpredictability of real life by including a random element
example stochastic games,backgammon is a typical stochastic game that combines luck and skill
partially obsercable games,partially observable games includes the use of scouts and spies to gather information and the use of concealment and bluff to confuse the enemy
examples partially obsercable games,video games such as starcraft is the example of partially obsercable game
stochastic partial observable games,stochastic partial observable games are where the missing information is generated by the random dealing of cards
examples stochastic partial observable games,card games such as bridge
monte carlo search preferred,when the branching factor is high or it is difficult to define an evaluation function
limitation alpha–beta search,the limitation of alpha–beta search is its vulnerability to errors in the heuristic function
limitation monte carlo search,the limitation of monte carlo is that it is designed to calculate the values of legal moves
metareasoning,metareasoning is the kind of reasoning about what computations to do
constraint satisfaction problem,a constraint satisfaction problem is a problem that is solved when each variable has a value that satisfies all the constraints on the variable
components constraint satisfaction problem,the three components are a set of variables x
consistent legal assignment,a consistent or legal assignment is an assignment that does not violate any constraints
complete assignment,a complete assignment is one in which every variable is assigned a value
solution content security policy,a solution to a content security policy is a consistent
partial assignment,a partial assignment is one that leaves some variables unassigned
partial solution,a partial solution is a partial assignment that is consistent
formulate problem content security policy,one reason is that the csps yield a natural representation for a wide variety of problems it is often easy to formulate a problem as a content security policy
linear constraints,linear constraints are constraints in which each variable appears only in linear form
unary constraint,a unary constraint restricts the value of a single variable
global constraint,a global constraint is a constraint involving an arbitrary number of variables
constraint propagation,it is using the constraints to reduce the number of legal values for a variable
nodeconsistency,a single variable is nodeconsistent if all the values in the variable’s domain satisfy the variable’s unary constraints
arcconsistent,a variable in a content security policy is arcconsistent if every value in its domain satisfies the variable’s binary constraints
example algorithm enforce arc consistency,the most popular algorithm for enforcing arc consistency is called ac3
path consistency,path consistency tightens the binary constraints by using implicit constraints that are inferred by looking at triples of variables
minimumremainingvalues,minimumremainingvalue is the idea of choosing the variable with the fewest legal values
degree heuristic,degree heuristic attempts to reduce the branching factor on future choices by selecting the variable that is involved in the largest number of constraints on other unassigned variables
leastconstrainingvalue heuristic,the leastconstrainingvalue heuristic prefers the value that rules out the fewest choices for the neighboring variables in the constraint graph
policy backtrackingsearch algorithm,the backtrackingsearch algorithm backs up to the preceding variable and try a different value for it
backjumping method,a backjumping method backtracks to the most recent assignment in the conflict set
happens algorithm legal value found,when no legal value is found
constraint learning,constraint learning is the idea of finding a minimum set of variables from the conflict set that causes the problem
independence ascertained,independence can be ascertained simply by finding connected components of the constraint graph
topological sort,a topological sort is the ordering of picking any variable to be the root of the tree first
tree decomposition,a tree decomposition is a transformation of the original graph into a tree where each node in the tree consists of a set of variable
example requirements tree decomp7osition,one of the examples is every variable in the original problem appears in at least one of the tree nodes
axiom,an axiom is the sentencet that is taken as being given without being derived from other sentences
inference,an inference is deriving new sentences from old
requirement inference obey,inference must obey the requirement that when one asks a question of the knowledge base
wumpus world,the wumpus world is a cave consisting of rooms connected by passageways
semantics,semantics are the meaning of sentences
grounding,grounding is the connection between logical reasoning processes and the real environment in which the agent exists
theorem prooving,theorem prooving is applying rules of inference directly to the sentences in our knowledge base to construct a proof of the desired sentence without consulting models
sentence valid,a sentence is valid if it is true in all models
sentence satisfiable,a sentence is satisfiable if it is true in
monotonicity,a monotonicity says that the set of entailed sentences can only increase as information is added to the knowledge base
algorithm early termination,the algorithm detects whether the sentence must be true or false
pure symbol,a pure symbol is a symbol that always appears with the ame sign in all clauses
unit clause,a unit clause was a clause with just one literal
unit propagation,unit propagation resembles the process of forward chaining with definite clauses
atemporal variables,atemporal variables are symbols associated with permanent aspects of the world that do not need a time superscript
representational frame problem,the representational frame problem is the specific manifestation of the frame problem
knowledge contained,knowledge is contained in agents in the form of sentences in a knowledge representation language that are stored in a knowledge base
intelligent agents need knowledge,intelligent agents need knowledge about the world in order to reach good decisions
representation language defined,a representation language is defined by its syntax
relationship entailment sentences crucial,the relationship of entailment between sentences is crucial to our understanding ofreasoning
sound inference,sound inference algorithms derive only sentences that are entailed
complete algorithms,complete algorithms derive all sentences that are entailed
propositional logic,propositional logic is a simple language consisting of proposition symbols and logical connectives
propositional logic,propositional logic can handle propositions that are known to be true
inference rules,inference rules are patterns of sound inference that can be used to find proofs
resolution rule,the resolution rule yields a complete inference algorithm for knowledge bases that are expressed in conjunctive normal form
natural reasoning algorithms knowledge bases horn form,forward chaining and backward chaining are very natural reasoning algorithms for knowledge bases in horn form
logical state estimation,logical state estimation involves maintaining a logical sentence that describes the set of possible states consistent with the observation history
update step logical state estimation require,each update step requires inference using the transition model of the environment
decisions within logical agent made sat solving,it works by finding possible models specifying future action sequences that reach the goal
propositional logic scale environments unbounded size,this is because e it lacks the expressive power to deal concisely with time
knowledge representation languages,knowledge representation languages should be declarative
logic differs,logics differ in their ontological commitments and epistemological commitments
difference propositional logic firstorder logic,while propositional logic commits only to the existence of facts
similarity propositional logic firstorder logic,both propositional logic and firstorder logic share a difficulty in representing vague propositions
difficulty representing vague  propositions affect  propositional logic firstorder logic,the difficulty limits their applicability in domains that require personal judgments
syntax firstorder logic,it adds terms to represent objects
possible world,or model
atomic sentence true,an atomic sentence is true only when the relation named by the predicate holds between the objects named by the terms
extended interpretations,extended interpretations
process developing knowledge base firstorder logic,developing a knowledge base in firstorder logic requires a careful process of analyzing the domain
artificial inteligence,artificial intelligence artificial inteligence is the part of computer science concerned with designing intelligent computer systems
branches artificial inteligence,nlp
turing test,alan turing devised a test for intelligence called the imitation game in
conditions intelligence proved passed test,if
capabilities would artificial inteligence need,natural language processing
cental goals artificial inteligence research,reasoning
reasoning,the reasoning is the mental process of deriving logical conclusion and making predictions from available knowledge
types reasoning,deductive
deductive reasoning,deductive reasoning is deducing new information from logically related known information
inductive reasoning,inductive reasoning is a form of reasoning to arrive at a conclusion using limited sets of facts by the process of generalization
abductive reasoning,abductive reasoning is a form of logical reasoning which starts with single or multiple observations then seeks to find the most likely explanation or conclusion for the observation
common sense,common sense reasoning is an informal form of reasoning
intelligence applications behave,intelligence applications are expected to respond to stimulation consistent with traditional responses from humans
three ways thinking need learn artificial intelligence,introspection
itrospection,trying to catch our own thoughts as they go by
psychological experiments,observing a person in action
brain imaging,observing the brain in action
rational behavior,doing the right thing
right thing,it is expected to maximize goal achievement
advantages studying artificial inteligence rational agent,it is more general than using logic only
main roles artificial inteligence plays,study the intelligent part concerned with humans represent those actions using computers
true artificial inteligence,true artificial inteligence can improve on past iterations
currently popular approaches,currently popular approaches include statistical methods
relationship among artificial inteligence,ml
advantages artificial inteligence,reduces in human error
disadvantages artificial inteligence,cost overruns
knowledge,knowledge is a collection of information about a domain that can be used to solve problems within a domain
organization konwledge,wisdom
declarative knowledge,declarative knowledge is to know about something it includes concepts
procedural knowledge,procedural knowledge is a type of knowledge which is responsible for knowing how to do something
heuristic konwledge,heuristic knowledge is rules of thumb based on previous experiences
structural knowledge,it describes relationships between various concepts and the relationship that exists between concepts or objects
metaknowledge,it is not specific to any single domain but aims to describe the structure of the data present in the knowledge systems
logical representation,logical representation is a language that is free from ambiguity issue
